BEV_DICHTH,OPP_WATER,AF_TREINST,AF_OVERST,AF_ZWEMB,AF_BIBLIO,P_SOCMINH,AV3_ARTSPR,AV1_SUPERM,AF_DAGLMD,AF_ZIEK_I,AF_POP,AV1_KDV,AV1_ONDBAS,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,rail,residentials,parcs,recreational,forest,motor,road,agric,industrie,monu_dens,houses_before45,houses60_81,houses45_60,houses_after91,dom45_60,dom60_70,dom80_85,dom1900,ratiofree,ratiorow,ratioindustrie,ratiomeeting,horeca,score
3123,0,1.5,25.5,0.9,0.6,7,5,3.1,0.6,1.7,25.3,1.9,1.2,595,32,40,28,2.1,11,4,0,0,1,1,1833.255843,264.5765269,0,2007.200421,105.9542071,206.5120845,2312.872433,13.18170284,381.8849208,0,1,0,0,0,0.009588001,0.026999893,0.100957778,0.982155868,0.035581913,0.071905115,0.030392884,0.014825797,0.017955516,7
4651,0,1.2,26.7,1,1.3,7,5,2.2,0.8,2.9,26.5,2.2,1.9,1145,27,27,46,2.5,8,8,2,0,1,2,5841.401791,308.6712479,20.19687829,5000,193.4374837,5000,1493.679866,0,3385.422617,0.1,0,0,0,0,0.034147472,0.050673355,0.250671757,0.999623801,0.23030303,0.254545455,0.124242424,0.027272727,0.018232421,6
2827,2,1.2,26,0.6,0.5,9,5,4.8,0.2,2.3,25.8,2,1.6,850,55,31,14,1.6,9,3,1,0,0,1,1074.259235,1142.522482,23.74240169,1524.673371,52.01268897,186.8347798,1102.885908,34.57855299,565.0125823,0.07,0.25,0,0.25,0.5,0.026592667,0.040799803,0.108665767,0.91901936,0.093052109,0.086848635,0.037220844,0.003722084,0.049159173,7
5592,0,1,25.6,1,1.2,6,5,0.9,0.6,1.8,25.4,2.7,2.9,1125,31,36,32,2.2,12,9,2,1,1,2,1157.359917,391.3717158,0,2296.316331,34.57000179,4001.169141,1542.772191,92.86112438,1168.759779,0,0,0,0,1,0.054567281,0.788434404,0.041819412,1,0.339495798,0.242016807,0.094117647,0.011764706,0.090737103,6
919,1,2.6,28.9,5.7,3.1,2,0.1,0,2.4,7.7,28.8,1,1,155,18,41,41,2.6,5,2,0,1,0,0,1663.207741,0,8.91161631,953.8680962,390.5212124,1250.765974,261.7039052,160.7044763,414.1114254,0,0.4,0.25,0.2,0.15,1.126115177,0.119866265,0.171470482,1,0.729050279,0.030726257,0.164804469,0.011173184,0.088860828,8
2102,0,4.5,27.5,6.5,0.6,4,2,1,0.4,6.5,30.4,3,1,1135,28,37,34,2.3,6,1,0,0,0,0,424.2684143,0,6.264189899,1554.872219,103.2808823,3279.919543,995.4793099,247.4828544,433.9161569,0.01,0.231707317,0.207317073,0.317073171,0.134146341,0.182256521,0.164036148,0.030452601,1,0.377382465,0.041931385,0.024142313,0.011435832,0.067052633,7
1363,0,1.5,31.3,3.7,0.5,3,1,1,0.5,9.7,30.3,1.9,1,955,23,34,42,2.5,5,0,0,0,0,0,954.9566091,0,272.2620317,412.1466472,300.7754362,1733.388996,347.905995,295.6712586,396.5775827,0.05,0.212765957,0.356382979,0.313829787,0.085106383,0.129197301,0.165603165,0.042907674,0.988681758,0.398963731,0.067357513,0.028497409,0.012953368,0.003389605,7
1435,0,5.9,19.9,3.9,0.5,3,1.2,1,3,4.3,19.7,1,1,780,25,34,41,2.4,6,1,0,0,0,0,129.3180594,0,142.9631156,1239.680186,156.8528826,2774.429544,263.1106524,192.5032175,0,0.04,0.025641026,0.487179487,0,0.418803419,0.099818212,0.200923136,0.018336076,0.946371976,0.238207547,0.136792453,0.117924528,0.011792453,0.085872239,8
47,32,5.4,19.6,4.9,1.9,3,1,0,2.8,5.1,19.4,0.2,0.1,135,15,41,44,2.7,5,3,0,0,0,0,381.1395773,0,65.09085174,961.9802146,296.3573843,2165.207315,949.7261911,226.8805504,973.0810239,0,0,0,0,1,0.04394477,0.055065589,0.0199274,0.48830553,1,0,0,0,0.01016412,8
3772,0,5.8,6.6,1.4,0.5,15,8.9,1.4,0.5,2.3,6.6,0.3,0.7,415,33,29,38,2.2,17,5,1,1,0,0,995.7122383,0,25.39998549,1016.060908,104.617557,1218.655951,491.5078991,382.7162544,770.7421702,0,0.120967742,0.588709677,0.060483871,0.012096774,0.226775748,0.035041674,0.099736275,1,0.307509881,0.104347826,0.015810277,0.015019763,0.016327466,8
3635,0,6.4,6.6,1,0.4,5,6.1,2.6,0.2,1.8,6.7,0.2,1.4,515,53,32,15,1.7,28,2,0,0,0,1,1560.677573,0,171.005149,663.4895428,189.0234465,1471.946592,937.9689478,264.7931322,1140.482707,0,0.012019231,0.661057692,0.139423077,0.009615385,0.160403464,0.066311455,0.008627972,1,0.391044776,0.098507463,0.03880597,0.011940299,0.013553725,8
