,BU_NAAM,GM_NAAM,BEV_DICHTH,OPP_WATER,AV1_CAFE,AF_TREINST,AF_OVERST,AF_ZWEMB,AF_BIBLIO,P_SOCMINH,AV3_ARTSPR,AV1_SUPERM,AF_DAGLMD,AF_ZIEK_I,AF_POP,AV1_KDV,AV1_ONDBAS,AV1_RESTAU,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,rail,residentials,parcs,recreational,forest,motor,road,water,agric,industrie,monu_dens,houses_before45,houses60_81,houses45_60,houses_after91,dom45_60,dom60_70,dom80_85,dom1900,ratiofree,ratiorow,ratioindustrie,ratiomeeting,score
0,Parkheide,Landgraaf,3645,0,2.9,3.3,6.3,0.9,1.4,5,6,0.6,0.7,6.5,6,0,1.9,1.6,730,16,31,53,2.6,15,1,0,0,0,0,2248.989371,0,5.322075054,591.1219044,25.50161179,5000,2923.783235,5000,274.1825556,326.9825676,0,0,0,0,1,0.064809753,0.065129028,0.010288641,1,0.627659574,0.074468085,0.010638298,0,7 Goed
1,Namiddagsche Driessen,Landgraaf,5855,0,3.2,3.3,6.9,1.5,1.1,5,4.1,1.3,0.7,6.6,6.6,0,1.7,2.7,495,17,35,48,2.5,21,3,0,0,0,1,2573.386233,0,239.3887077,1022.877599,239.2923704,5000,3108.513744,5000,229.2636475,762.7346514,0,0,0.213740458,0.030534351,0.007633588,1.031216324,0.238721566,0.396089102,1,0.687022901,0.061068702,0.053435115,0.007633588,6 Ruim voldoende
2,Oud Nieuwenhagen,Landgraaf,4270,0,8.4,2.2,5,1,0.5,12,8.6,1,0.4,6.1,4.7,1.2,2,3.1,1715,41,29,29,2,21,3,0,1,0,0,1104.505718,0,50.86642538,804.5736584,17.50912164,5000,1976.327661,5000,554.1474833,591.8877921,0,0.185840708,0.14159292,0.495575221,0.150442478,0.328331105,0.137597553,0.020017912,1.00055925,0.522123894,0.088495575,0.061946903,0.008849558,6 Ruim voldoende
3,Hoefveld,Landgraaf,2106,0,3.4,1.8,5.2,1.7,0.7,3,9.2,0.1,0.6,5.5,4.9,0.5,1,1.1,615,20,46,34,2.3,17,2,0,0,0,0,694.2976795,0,50.52438628,1320.123276,37.23734453,5000,1440.426008,5000,510.1091111,1069.668203,0,0,0.645454545,0,0.281818182,0.10696695,0.053805978,0.140434719,1,0.736363636,0.009090909,0.018181818,0.018181818,7 Goed
4,Op de Kamp,Landgraaf,4992,0,5.6,1.8,4.4,1.4,0.8,9,8.1,2,0.3,6.3,4.1,1,2.3,5.7,430,41,35,24,1.9,24,4,0,0,0,1,865.8694591,0,34.00662951,1058.311849,138.8483635,5000,2102.440843,5000,905.5694213,940.8844631,0,0.032520325,0.037940379,0.176151762,0.162601626,0.145308529,0.065520813,0.385149584,0.995723654,0.414634146,0.097560976,0.075880759,0.005420054,6 Ruim voldoende
5,Exdel,Landgraaf,1347,0,2,2,4.5,1.9,1.5,9,6.7,1.5,0.8,6.8,4.3,0.9,1.4,3.3,235,28,43,29,2.1,17,3,0,0,0,1,1304.113768,0,211.5354753,1108.324839,51.56209042,5000,1638.45769,5000,295.140795,1087.602238,0,0.018691589,0.299065421,0.177570093,0.056074766,0.236382588,0.07220075,0.79299879,0.990272313,0.76635514,0.028037383,0.186915888,0.018691589,8 Zeer goed
6,Eiske,Landgraaf,4005,0,0.6,2,3.9,4.4,1,11,8.5,0.8,0.2,4.7,3.3,0.9,1.3,0.1,740,30,35,35,2.1,19,5,1,0,0,1,1417.532101,0,43.18697859,2474.49192,304.6075267,3764.220721,285.0234326,5000,240.2146258,234.0772754,0.1,0.108433735,0.340361446,0.361445783,0.036144578,1.132136408,0.524366,0.241265128,1,0.659638554,0.021084337,0.078313253,0.012048193,7 Goed
7,Heistraat,Landgraaf,2772,0,1,3,4.7,4.3,2,4,7.2,0,0.8,3.9,4.1,0.8,0.1,0.8,230,14,34,52,2.7,11,2,0,0,1,0,2306.008446,0,118.7610088,1696.51496,71.73790403,3556.78028,152.0110581,5000,571.4531291,789.0707339,0,0.265306122,0,0,0.693877551,0.690046242,0.621719341,0.154231621,1.109225551,0.755102041,0.040816327,0.06122449,0,9 Uitstekend
9,Nieuwenhagerheide,Landgraaf,4603,0,5.9,2.4,5,1.1,1.1,9,7.6,1.1,0.6,6.1,4.7,1.6,1.3,2.7,1520,31,37,31,2.1,20,5,1,0,0,0,1206.15152,314.3447532,0,1939.338212,59.82597759,4874.722157,1009.293955,5000,632.9691547,332.2051977,0,0,0,0,0,0.3686845,0.346171784,0.833263649,1,0.401129944,0.050847458,0.118644068,0.005649718,6 Ruim voldoende
10,Swolgen,Horst aan de Maas,2635,0,0,9.5,16.9,7.5,5.7,4,0,0,3.1,7.6,15.9,2,1,1,350,22,36,42,2.5,6,1,-99999999,-99999999,-99999999,-99999999,1526.17378,0,107.4875116,461.608054,274.7418936,5000,2304.904456,5000,344.1904544,419.4408641,0.01,0,0.700564972,0.192090395,0.107344633,0.271429394,0.287154101,0.360526615,0.951531273,0.680412371,0.092783505,0.020618557,0.06185567,8 Zeer goed
11,Verspreide huizen Swolgen,Horst aan de Maas,40,1,0,9.6,17.4,8.1,5.6,8,0.2,0,2.7,8.2,16.4,0.8,0.5,0.6,140,25,35,40,2.6,5,0,-99999999,-99999999,-99999999,-99999999,1930.707433,0,193.0027349,4954.958021,151.7500883,5000,3770.026631,5000,306.4101611,1504.663928,0,0.154639175,0.402061856,0.092783505,0.24742268,0.425037642,0.214989153,0.424444141,0.977304469,1,0,0,0,8 Zeer goed
12,Verspreide huizen Lottum,Horst aan de Maas,52,42,0.5,9.4,12.1,7.4,4.7,3,0.9,0,1.4,7.9,11.1,0.2,0.3,0,300,16,38,46,2.7,4,1,-99999999,-99999999,-99999999,-99999999,2316.728214,46.05529069,56.87827794,4695.159626,181.4434122,5000,3267.225686,5000,30.63790248,1789.21984,0,0.6,0,0.4,0.2,0.075214024,0.059833716,5.103639897,0.5,0,0,0,0,8 Zeer goed
13,Grubbenvorst-Centrum,Horst aan de Maas,2678,0,1.9,6.1,7.8,5.1,1.6,6,3,1,0.3,8.6,6.9,1.8,1.8,3,425,42,33,25,2,11,3,0,0,0,1,1708.689252,228.3731524,122.1871455,5000,202.4963067,3857.411935,2088.477496,5000,0,2126.576983,0.01,0,0,0,0,0.105911065,0.06373658,0.012361565,0.991407675,0.168341709,0.162479062,0.003350084,0.006700168,7 Goed
14,De Comert,Horst aan de Maas,1974,0,1.9,6.5,8.2,5.3,1.8,6,3,1,0.4,8.8,7.2,1.9,1.2,2.9,155,22,22,56,2.7,11,6,0,0,0,0,743.188235,4.75516402,70.34833599,5000,82.67650051,1749.301643,1479.412208,5000,305.1493109,445.711673,0,0.127303183,0.174204355,0.195979899,0.227805695,0.04011954,0.065200024,0.006508775,0.966783561,0.266106443,0.18487395,0,0,7 Goed
15,'t Reuvelt,Horst aan de Maas,3560,0,2,6,7.8,5.2,1.8,4,3,1,0.4,8.7,7.1,1.5,1.9,3,350,25,44,31,2.3,10,3,0,0,1,0,835.8730298,0,162.3503033,5000,38.28916694,1957.176733,1506.301402,5000,167.2217476,41.02697138,0,0.050420168,0.134453782,0.06442577,0.288515406,0.028711815,0.418299354,0.002306779,1.000734806,0.392717815,0.187256177,0.026007802,0,7 Goed
16,Verspreide huizen Melderslo,Horst aan de Maas,103,0,0.9,6.1,14.6,3.5,3.2,3,0.6,0.3,3,3.7,14.4,0.2,0.3,0,305,16,36,48,2.8,4,0,-99999999,-99999999,-99999999,-99999999,596.9152176,0,39.60400927,5000,234.1429565,1531.489189,1482.547618,5000,391.8318332,729.3792587,0,0,0.88946684,0.041612484,0.068920676,0.129524183,0.113628192,0.050937269,0.99875715,0.658291457,0.050251256,0.010050251,0.010050251,7 Goed
17,Broekhuizenvorst,Horst aan de Maas,2214,0,1.2,12.2,15.9,10.2,3,4,0.8,0.1,0.4,10.3,14.9,1,1,0,360,26,35,39,2.4,9,3,0,0,0,0,1497.16751,0,42.3110841,5000,57.00233495,1732.485198,5000,5000,195.7499605,1389.998668,0.06,0.020100503,0.567839196,0.150753769,0.221105528,0.348080185,0.698354821,0.827670578,0.983739837,0.349593496,0.146341463,0,0.008130081,7 Goed
18,Verspreide huizen Broekhuizenvorst,Horst aan de Maas,39,31,0.5,11.6,16.9,10.2,4.1,-99999999,0.1,0.1,0.9,10.3,16,0.3,0.3,0.3,75,16,44,40,2.5,8,1,-99999999,-99999999,-99999999,-99999999,4586.87524,0,91.02547674,2166.351884,96.54677284,5000,1289.940534,5000,319.7601737,4343.906859,0,0.130081301,0.227642276,0.06504065,0.300813008,0.31555986,0.832501163,0.758893945,1,1,0,0,0,6 Ruim voldoende
19,Lottum,Horst aan de Maas,2597,0,2,10.5,12.3,8.2,4.1,4,1,0,0.3,8.6,11.4,1,1,0,515,29,38,33,2.3,6,2,0,0,0,0,4410.141568,484.9345137,7.545017486,2584.953393,100.3266231,5000,1472.93169,5000,16.83976217,3925.10372,0.01,0.666666667,0.333333333,0,0,0.129774351,0.162386274,0.101447543,1.055449402,0.448529412,0.102941176,0.007352941,0.007352941,8 Zeer goed
20,De Afhang,Horst aan de Maas,1631,0,5.1,3.3,14.7,0.9,1.3,3,2,1.7,0.9,0.6,14.9,2.1,0.8,3.8,435,20,23,56,2.8,9,5,0,0,0,0,2953.863844,0,136.9672058,4956.828388,248.0841279,5000,1224.35563,5000,311.8625426,1720.128504,0,0.161764706,0.345588235,0.242647059,0.191176471,0.008908796,0.0505958,0.057437287,0.999523186,0.763636364,0.054545455,0.018181818,0,8 Zeer goed
22,Verspreide huizen Horst,Horst aan de Maas,71,19,1.3,4.4,14.8,2.3,2.4,6,1.3,0.2,1.9,2.3,15,0.7,0.3,0.9,395,25,33,42,2.6,8,1,0,0,0,0,2564.75938,0,13.55733015,5000,117.5743301,1530.885456,5000,5000,37.5315067,1033.1994,0.01,0.054545455,0.036363636,0,0.909090909,0.079857852,0.054217033,0.022924034,0.996190536,0.591549296,0.056338028,0.028169014,0.028169014,7 Goed
23,Melderslo,Horst aan de Maas,2774,0,2.9,5.8,14.3,3.3,2.9,2,0,1,2.8,3.4,14.5,1,1,0,455,25,31,44,2.6,4,1,-99999999,-99999999,-99999999,-99999999,2039.330077,307.5391675,53.00658116,5000,53.97048687,1103.544139,3736.949344,5000,445.837064,0,0,0.26119403,0.694029851,0,0.02238806,0.110538276,0.05952308,0.080936892,0.99875715,0.390977444,0.082706767,0.022556391,0,7 Goed
24,Kapellerhof,Horst aan de Maas,1942,0,4.7,3,13.4,0.7,1.4,1,2,2.8,0.7,1.1,13.6,1.8,1,3.3,150,23,52,25,2.2,7,0,-99999999,-99999999,-99999999,-99999999,3545.473317,0,17.33501159,5000,220.0031275,426.6430127,5000,5000,52.95328644,1298.729577,0,0.042253521,0.126760563,0.028169014,0.788732394,0.0153829,0.0484086,0.031047792,0.996293935,0.876146789,0,0.077981651,0,9 Uitstekend
25,Berkelsbroek,Horst aan de Maas,3338,0,2.3,3.6,13.8,1.2,1.5,3,2,1.8,0.8,1.5,14,1.8,1,2.1,270,14,44,41,2.6,5,4,0,0,0,0,1683.211762,0,11.348891,5000,18.43711699,1552.418247,5000,5000,276.593006,1178.163782,0,0.22556391,0.105263158,0.112781955,0.390977444,0.010983801,0.059199482,0.457663695,1.008349647,0.620689655,0.120689655,0.034482759,0.00862069,7 Goed
26,Stuksbeemden,Horst aan de Maas,5408,0,3.9,3.7,14,1.2,1.1,6,2,3.3,0.7,1.4,14.2,1.9,1.3,4.8,740,30,27,43,2.4,6,3,0,0,0,0,2490.485745,0,22.52271339,5000,210.7257519,783.8434377,4117.356559,5000,448.4064103,191.8534073,0,0.013761468,0.110091743,0,0.793577982,0.015116033,0.059199482,0.240999488,1.012820485,0.595041322,0.090909091,0.074380165,0.05785124,7 Goed
27,De Risselt,Horst aan de Maas,3468,0,4.8,4.1,14.4,1.4,0.9,5,2,3.1,0.8,1.5,14.6,3.6,1.7,6.9,465,21,25,54,2.7,4,3,0,0,0,0,2925.03076,0,0,5000,20.92186295,319.2153863,4233.246547,5000,387.9501102,260.7819584,0,0.025862069,0.603448276,0,0.017241379,0.065745625,0.120687787,0.002824017,1.020285567,0.468468468,0.099099099,0.027027027,0.009009009,7 Goed
28,Meerlo,Horst aan de Maas,3011,1,1.9,6.3,19.6,8.5,8,4,1,0,0.4,8.5,18.6,1,1,0,645,23,40,37,2.5,7,2,0,0,0,0,3144.601825,0,12.94154382,5000,0,332.8574225,4667.430867,5000,394.1128127,679.125035,0.01,0,0,0.008264463,0.140495868,0.132133768,0.177824244,0.058375779,0.992063492,0.650793651,0.063492063,0,0.031746032,7 Goed
29,Verspreide huizen Meerlo,Horst aan de Maas,36,4,0.8,6.9,19.5,8.5,7.8,10,1,0.1,1.1,8.6,18.5,0.2,0.2,0,105,27,28,44,2.5,7,0,-99999999,-99999999,-99999999,-99999999,3463.369438,0,28.69179161,5000,234.6456519,338.1724723,5000,5000,266.7776879,1207.577365,0,0,0.009009009,0.09009009,0.900900901,0.332133768,0.079808371,0.034566255,0.95,0.7,0,0,0.05,7 Goed
30,Tienray,Horst aan de Maas,3087,0,3,7.8,17.4,6.6,6.1,6,1,1,2.4,6.6,16.4,0,1,0,445,27,37,37,2.3,12,1,0,0,0,0,1894.951345,0,37.59722797,5000,191.1290948,3979.042755,2422.268405,5000,347.5415157,2240.540762,0,0.047619048,0.849206349,0,0.087301587,0.120939473,0.137898018,0.186377461,0.965611935,0.535483871,0.167741935,0,0.025806452,7 Goed
31,Verspreide huizen Tienray,Horst aan de Maas,63,15,2.6,7.7,17.8,6.5,6,-99999999,0.7,0.9,2.4,6.5,16.8,0,0.8,0,45,10,23,67,3.2,7,2,-99999999,-99999999,-99999999,-99999999,2026.972902,54.65276089,45.01812234,5000,166.4698541,4244.42156,2780.63053,5000,0,2057.838265,0,0.15,0.05,0.4,0.35,0.121332864,0.177394477,0.197156375,0.923991164,0.804878049,0,0.024390244,0.048780488,8 Zeer goed
32,Kronenberg,Horst aan de Maas,3692,0,1,4,14.5,6.3,3,4,1.5,0,3,6.3,14.7,1,1,0.2,270,22,37,40,2.5,6,1,-99999999,-99999999,-99999999,-99999999,748.471642,0,114.360991,5000,171.5791034,3710.164546,4478.018916,5000,274.5801106,340.3492327,0.01,0.148387097,0.309677419,0.096774194,0.374193548,0.132323664,0.160363381,0.046847198,1,0.688172043,0.010752688,0.021505376,0.064516129,8 Zeer goed
33,Verspreide huizen Kronenberg,Horst aan de Maas,63,1,0.7,3.8,14.7,6.1,3.2,4,1.6,0,3,6,14.9,0.5,0.5,0.2,150,16,27,58,3.1,5,0,-99999999,-99999999,-99999999,-99999999,413.2907146,0,42.79605016,5000,60.470774,3352.075679,4468.006703,5000,116.1410899,60.94262247,0.01,0.414634146,0.365853659,0.097560976,0.048780488,0.193935064,0.154500114,0.132852447,0.836289244,1,0,0,0,8 Zeer goed
35,Verspreide huizen Eversoord,Horst aan de Maas,16,35,0,8.3,18.9,9.6,6.9,-99999999,0,0,3.3,9.7,19.1,0,0,0.1,70,18,26,57,2.9,9,0,-99999999,-99999999,-99999999,-99999999,2032.513996,0,51.43638956,5000,140.1494504,4047.557153,2564.137924,5000,135.8237584,2439.332196,0,0.139784946,0.580645161,0.053763441,0.150537634,1.474455278,0.217938618,0.295447351,1,1,0,0,0,4 Zwak
36,Verspreide huizen Broekhuizen,Horst aan de Maas,26,12,0.2,11.1,14.6,8.4,3.3,-99999999,1.3,0.2,2.1,8.5,13.7,0,0,0,50,10,35,56,2.7,2,1,-99999999,-99999999,-99999999,-99999999,1918.816832,0,49.20661423,5000,36.06317992,4170.895718,2580.338626,5000,192.0629533,2442.219077,0,0.75,0.25,0,0,2.635171068,2.286586904,10.24277216,1,1,0,0,0,7 Goed
37,Sevenum,Horst aan de Maas,3483,0,5.4,2.6,11.6,5.2,0.6,4,2.2,1.9,0.6,5.2,11.8,4.2,2.6,3.9,2020,26,36,38,2.4,6,2,0,0,0,0,2062.500252,2.096973357,45.49732063,5000,31.76779278,2844.89385,542.9845068,5000,174.6474191,5000,0,0,0.4,0.6,0,0.036804708,0.080403306,0.007492571,0.980555556,0.322222222,0.061111111,0.016666667,0.044444444,8 Zeer goed
39,Verspreide huizen Sevenum,Horst aan de Maas,60,23,0.4,3.7,12.4,6.1,2.1,3,1.8,0.2,2,6.1,12.6,0.3,0.2,0.3,565,21,34,45,2.7,5,1,-99999999,-99999999,-99999999,-99999999,2681.924299,522.7914315,32.84465109,5000,41.72547883,2692.337838,1243.20461,5000,0,5000,0,0,0,1,0,0.003136035,0.000773188,0.015710198,0.5,0,0,0,0,7 Goed
40,Middelreuvelt,Horst aan de Maas,3847,0,1.3,6.4,8.2,5.6,2.2,5,2.9,0.9,0.8,8.8,7.5,0.7,2,2.2,475,20,31,49,2.6,13,3,0,0,0,1,3565.604285,0,28.35319863,3365.645243,113.9376659,5000,2311.095301,5000,25.3080165,3802.634363,0,0.2,0,0.8,0,0.005897371,0.051575594,0.094616977,0.999331666,0.446265938,0.081967213,0.012750455,0.005464481,7 Goed
41,Tuinhaversveld,Horst aan de Maas,4540,0,1.2,6.6,8.4,5.6,2.1,2,2.9,1,0.7,8.4,7.5,2,1.9,2.3,395,17,43,41,2.5,14,2,0,0,0,0,1556.019626,0,132.5179566,5000,123.5227724,2746.719578,2285.451029,5000,531.7805812,847.3810093,0,0.244444444,0.222222222,0.055555556,0.45,0.012385401,0.013339505,0.002311314,0.927797212,0.388392857,0.098214286,0.013392857,0.004464286,7 Goed
42,Verspreide huizen Grubbenvorst,Horst aan de Maas,35,31,0.1,6.1,9.3,5.4,3.3,10,1.1,0.2,2.1,6.6,8.8,0.5,0.2,0.3,180,28,37,35,2.4,10,1,-99999999,-99999999,-99999999,-99999999,1864.194793,1665.551424,66.03391973,5000,36.00667587,800.7431938,745.433247,5000,412.1953261,5000,0,0,0,0,1,0.007932569,0.002181941,0.002314656,0.501338663,0,0,0,0,7 Goed
43,Broekhuizen,Horst aan de Maas,2438,0,1.1,12.3,14.8,9.6,2.2,5,1.7,1,1.1,9.7,13.8,0.1,0.1,0.9,270,29,34,36,2.4,8,0,-99999999,-99999999,-99999999,-99999999,2288.25409,41.83190787,77.28794049,5000,96.4221296,2427.498902,2626.245249,5000,0,1410.602986,0.02,0,0,0,0,1.550720106,1.564795309,6.967283705,0.982323232,0.383838384,0.171717172,0,0,7 Goed
44,Molenveld,Horst aan de Maas,3316,0,5.6,4.3,15,1.6,1.1,6,2,1.3,1,1.4,15.2,3,1.6,4.9,1185,30,36,34,2.3,9,4,1,0,0,0,299.0324148,0,15.95577139,5000,90.8621956,1216.280517,1176.649095,5000,347.0951869,408.2846143,0,0,0.207650273,0,0.568306011,0.086155126,0.518001464,0.01555129,1.018467385,0.298181818,0.087272727,0.04,0.032727273,6 Ruim voldoende
45,De Riet,Horst aan de Maas,7239,0,8.6,3.7,14.5,1,0.6,8,2,5,0.4,0.9,14.7,4.6,2.5,10,255,26,40,34,2.3,12,8,1,0,0,0,262.0358137,0,13.98948854,5000,46.04538104,1308.571809,1266.957597,5000,297.3621396,575.408604,0.01,0.075892857,0.535714286,0.008928571,0.174107143,0.039903642,0.374569275,0.069157962,0.976166944,0.576104746,0.10801964,0.045826514,0.014729951,6 Ruim voldoende
46,Weisterbeek,Horst aan de Maas,5587,0,9.5,3.3,14.4,0.7,0.8,11,2,4.8,0.4,0.4,14.6,3.5,1.6,9.2,345,38,33,29,2,10,13,0,0,1,2,1329.254357,652.5974856,252.3975218,5000,128.8765906,268.5502202,1523.386224,5000,0,308.6984792,0.01,0,0,0,0,0.026058978,0.26927475,0.030419211,1.038137628,0.546925566,0.080906149,0.019417476,0.006472492,6 Ruim voldoende
47,Nieuwstraat,Horst aan de Maas,5354,0,6.7,2.8,14.1,0.3,1.1,4,2,4.1,0.5,0.5,14.3,2.7,1.8,7.2,350,32,34,34,2.2,4,3,0,0,1,1,4391.838406,0,109.3037968,2502.820694,206.9798612,5000,1452.407226,5000,198.8645386,4186.241996,0,0.050505051,0.257575758,0.121212121,0.54040404,0.030634172,0.057393097,0.178430399,0.990340096,0.373831776,0.104672897,0,0.011214953,7 Goed
48,Verspreide huizen Meterik,Horst aan de Maas,69,1,0.3,3.7,16,2.7,3,4,1.7,0,1.3,2.4,16.2,0.3,0.3,0.7,260,13,32,56,3,4,1,-99999999,-99999999,-99999999,-99999999,3521.546162,0,3.466226082,5000,107.9548042,782.3985793,5000,5000,426.5162315,1119.339945,0,0.018181818,0.832727273,0.130909091,0.018181818,0.002768496,0.252962987,0.310415752,1,1,0,0,0,8 Zeer goed
49,Hegelsom,Horst aan de Maas,2951,0,1,1.8,14.3,1.8,2.6,2,2,0,2,1.7,14.5,1,1,0,465,23,35,42,2.5,6,2,1,0,0,0,3008.331707,0,66.54694977,5000,153.5327747,976.3941252,5000,5000,518.5642072,1086.57593,0,0.160392799,0.656301146,0.044189853,0.065466448,0.21476589,0.11995442,0.350031511,0.996482625,0.539033457,0.018587361,0.018587361,0.014869888,8 Zeer goed
50,Verspreide huizen Hegelsom,Horst aan de Maas,118,1,0.5,1.5,14,2.2,2.8,4,2.2,0.1,1.8,2.2,14.2,0.6,0.5,0.1,265,20,35,45,2.7,4,1,-99999999,-99999999,-99999999,-99999999,2667.649768,0,72.74187821,5000,81.91822229,1200.636189,4921.199561,5000,367.6539929,821.2502438,0,0.042071197,0.815533981,0.01618123,0.106796117,0.427757247,0.084192962,0.353465322,0.909090909,1,0,0,0,8 Zeer goed
51,Horst-Centrum,Horst aan de Maas,3906,0,8.8,3.4,13.9,0.7,0.6,7,2,5,0.3,0.8,14.1,3.2,2,9.1,765,50,32,18,1.8,8,2,0,0,0,0,2335.523353,0,69.87944241,5000,309.0620899,1209.766492,4438.387389,5000,185.0652798,338.4475736,0.03,0.079439252,0.593457944,0.053271028,0.123364486,0.082942672,0.088665724,0.007716877,0.971702275,0.359042553,0.087765957,0.039893617,0.010638298,7 Goed
54,Verspreide huizen America,Horst aan de Maas,38,14,1,5.8,18.2,6.5,6.8,3,0.9,0.4,1.6,6.1,18.4,0.6,0.3,0.4,320,19,34,47,2.8,5,0,-99999999,-99999999,-99999999,-99999999,2002.150392,358.2128377,2.931607991,5000,7.377746626,3069.956752,4653.617161,5000,26.98222197,2256.267661,0,0,0.5,0,0,0.307844205,0.316245533,0.039648268,1,1,0,0.066666667,0,7 Goed
55,Meterik,Horst aan de Maas,2945,0,1,4,16.4,2.6,2.6,2,2,0,0.3,2.3,16.6,1,1,1.1,270,17,38,45,2.6,4,1,0,1,0,0,929.9459605,0,112.0042798,5000,320.9164428,2398.718346,3829.591038,5000,201.4441638,614.9357004,0.01,0.081784387,0.141263941,0.040892193,0.698884758,0.045883754,0.074856358,0.235985095,0.975381218,0.692307692,0.065934066,0.087912088,0.010989011,8 Zeer goed
56,Griendtsveen,Horst aan de Maas,1163,2,0,7,17,6.7,7.1,3,0,0,5.4,7.8,24,0.7,0.9,0.9,190,23,35,42,2.6,4,1,-99999999,-99999999,-99999999,-99999999,665.6874809,66.09919675,28.75734192,5000,160.7435734,2610.264685,3717.271072,5000,19.3654282,671.8137781,0.02,0.545454545,0,0.454545455,0,0.014975742,0.18670935,0.038435175,1,0.87755102,0,0,0,8 Zeer goed
58,America,Horst aan de Maas,3104,0,3,4.6,17.2,5.5,6.1,3,1,1,0.5,5.2,17.4,2,1,1,495,27,32,40,2.4,7,2,0,0,0,0,2773.427404,77.15820047,300.4793836,5000,178.655118,817.8652339,4653.140866,5000,565.8806742,624.2835739,0.01,0.218085106,0.037234043,0.151595745,0.492021277,0.123774988,0.229005162,0.096815156,0.950160772,0.466237942,0.041800643,0.01607717,0.003215434,6 Ruim voldoende
59,Terblijt,Valkenburg aan de Geul,98,0,0.4,3.4,7.3,3.6,1.2,-99999999,1,0,1.3,7.5,8.3,0.2,0.1,0.6,70,18,48,34,2.4,11,0,-99999999,-99999999,-99999999,-99999999,1930.011443,2110.307117,72.49930411,5000,0,5000,566.9332431,5000,331.4582548,4130.071948,0.03,0,0.834224599,0,0,0.169996228,0.440695942,0.034069135,0.82861867,0.916666667,0,0,0,9 Uitstekend
60,Vilt,Valkenburg aan de Geul,1289,0,2,2.7,8.5,2.1,1.5,4,4.3,0,1.9,8.6,9.4,0,1,1.1,380,22,36,42,2.4,9,1,0,0,0,0,1031.575592,1023.664078,54.2361234,5000,0,5000,588.6239919,5000,340.3101716,4897.195382,0,0,0.811965812,0,0,0.057520871,0.191703809,0.072073791,0.942009532,0.485981308,0.121495327,0.018691589,0.009345794,8 Zeer goed
61,Sibbe,Valkenburg aan de Geul,224,0,2.5,3.4,9.6,2.9,2.4,7,2.5,0,2.4,9.4,10.9,0,0.9,0.3,480,30,37,32,2.2,10,2,0,0,0,0,169.0023629,0,0,5000,7.622975275,5000,1567.290007,5000,202.6904414,4686.601429,0.01,0.333333333,0,0.533333333,0,0.082954048,0.175765275,0.503317822,0.95,0.55,0.075,0,0,8 Zeer goed
62,IJzeren en Heerstraat,Valkenburg aan de Geul,120,0,1.8,4.3,10.1,3.9,2.5,2,1.1,0,2.3,9.9,11.5,0,0.9,0,120,18,39,43,2.5,8,1,-99999999,-99999999,-99999999,-99999999,2634.731324,0,124.1783796,5000,31.59681994,2559.701195,4976.301442,5000,206.0052313,2261.17669,0.04,0.208791209,0.252747253,0.087912088,0.307692308,0.096401943,0.260334828,0.029772946,1.162327281,0.396226415,0.075471698,0.056603774,0,9 Uitstekend
63,Berg,Valkenburg aan de Geul,638,2,1,2.3,6.7,3.6,0.8,4,1.1,0.8,0.6,6.8,7.6,0.6,0.7,1.3,1375,26,34,40,2.4,10,1,0,0,0,0,228.3229818,0,35.81021637,5000,37.92938639,5000,4370.097891,5000,257.2605089,2188.943961,0.01,0.040816327,0.530612245,0,0.244897959,0.177152309,0.365354391,0.00982175,0.996551042,0.373015873,0.158730159,0.03968254,0.047619048,7 Goed
64,Altweerterheide buitengebied,Weert,17,32,0.3,4.7,4.7,4.1,4.5,5,0.9,0,3.5,5.6,25.1,0,0.2,0,180,18,43,39,2.5,11,2,-99999999,-99999999,-99999999,-99999999,141.4846732,17.09928831,0,5000,35.80858285,5000,3884.787669,5000,43.77441918,2148.636326,0,0.25,0.375,0,0.25,0.408334314,0.140180643,0.069195805,1,1,0,0,0,9 Uitstekend
65,Tungelroy,Weert,1523,0,0,5.3,5.3,6.8,2.6,5,1,0,2.6,5.5,20.6,0,1,0,305,26,36,37,2.3,9,1,-99999999,-99999999,-99999999,-99999999,192.3185012,0,19.40344348,5000,24.33927636,5000,2117.40796,5000,278.6693637,4131.485352,0.01,0.260450161,0.376205788,0.151125402,0.125401929,1.049313515,0.641337442,0.330475572,1,0.568493151,0.102739726,0,0.01369863,8 Zeer goed
66,Tungelroy buitengebied,Weert,34,1,0.1,5.1,5.1,6.6,2.8,9,0.7,0,2.7,5.1,20.8,0.1,0.4,0,110,24,36,40,2.5,14,0,-99999999,-99999999,-99999999,-99999999,2159.247519,0,13.00832376,2403.611551,200.1946161,2445.752372,3186.271434,5000,208.2831113,2397.876863,0,0.25,0.5,0.083333333,0.083333333,0.54508164,1.011200455,0.279105709,1,1,0,0,0,9 Uitstekend
67,Swartbroek,Weert,1887,0,1,6,6,8.1,2.3,5,0,0,2.4,5.6,17,0,1,0,230,21,40,39,2.4,9,3,1,1,0,0,1625.177173,0,30.50166531,948.0120891,102.1511529,1761.973568,3871.50251,5000,254.4288399,1007.195712,0,0.271028037,0.495327103,0.093457944,0.112149533,0.36677424,0.349889132,0.18913244,0.985507246,0.782608696,0.115942029,0,0.014492754,9 Uitstekend
