,BU_NAAM,GM_NAAM,BEV_DICHTH,OPP_WATER,AV1_CAFE,AF_TREINST,AF_OVERST,AF_ZWEMB,AF_BIBLIO,P_SOCMINH,AV3_ARTSPR,AV1_SUPERM,AF_DAGLMD,AF_ZIEK_I,AF_POP,AV1_KDV,AV1_ONDBAS,AV1_RESTAU,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,rail,residentials,parcs,recreational,forest,motor,road,water,agric,industrie,monu_dens,houses_before45,houses60_81,houses45_60,houses_after91,dom45_60,dom60_70,dom80_85,dom1900,ratiofree,ratiorow,ratioindustrie,ratiomeeting,score
601,Maarland,Eijsden-Margraten,429,0,1.7,2.6,7.4,2.2,2.2,-99999999,2.2,0,2,5.4,8.7,1,1,0,85,26,40,34,2.3,11,0,-99999999,-99999999,-99999999,-99999999,363.5614524,0,19.98701136,1556.732346,197.5709444,2639.876269,1271.341749,5000,111.1281312,489.7095214,0.06,0.069230769,0.061538462,0.45,0.146153846,0.126398718,0.253133618,0.005625009,0.853587992,0.590909091,0.090909091,0.181818182,0.022727273,8 Zeer goed
602,Gronsveld,Eijsden-Margraten,746,0,3.5,4.2,5.8,4.7,0.5,4,4.1,0,0.4,3.7,7.4,2.9,0.9,2.8,1000,22,40,38,2.4,9,3,0,0,0,0,796.9993711,0,250.5112704,571.866717,274.3530692,2404.328355,1080.167316,5000,128.196102,518.3392167,0.07,0.165562914,0.125827815,0.622516556,0.033112583,0.151372692,0.652221185,0.020004467,0.966249509,0.479166667,0.1875,0.111111111,0.034722222,8 Zeer goed
603,Rijckholt,Eijsden-Margraten,1050,0,1.9,4.2,7,3.9,1.5,3,1,0,0.9,4.9,8.6,0,0,1,260,23,35,42,2.4,9,1,-99999999,-99999999,-99999999,-99999999,524.3516274,0,0,860.8656667,234.6841658,621.368531,3366.888178,5000,382.3386421,912.0979868,0.02,0.007968127,0.800796813,0.09561753,0.059760956,0.06014023,0.334595298,0.027283818,0.969378854,0.619565217,0.065217391,0.054347826,0.02173913,8 Zeer goed
604,Mariadorp-Beezepool,Eijsden-Margraten,2704,0,2.1,1.1,8.8,1.2,0.7,5,2,1,0.5,7.1,10.1,1.5,1.8,0.6,1000,21,34,45,2.5,12,4,0,0,0,0,773.4734892,0,341.5658527,981.3535144,322.1255463,1329.214244,2626.279509,5000,808.9154585,779.0245906,0,0.126213592,0.09223301,0.723300971,0.058252427,0.014816109,0.002043914,0.009593473,0.995952121,0.048939641,0.045676998,0.058727569,0.008156607,8 Zeer goed
605,Withuis-Stationsstraat,Eijsden-Margraten,133,0,2.5,1,9.8,1.8,1.4,-99999999,2,1.1,0.7,8,11.1,0.5,0.3,2.2,70,16,38,45,2.8,13,3,-99999999,-99999999,-99999999,-99999999,1058.405001,0,59.48630452,1568.612335,177.0131537,909.7108346,1961.25989,5000,221.9150384,2002.47094,0,0.161073826,0.523489933,0.120805369,0.120805369,0.145996793,0.098157228,0.042184648,1,0.333333333,0.083333333,0.166666667,0,9 Uitstekend
606,Mesch,Eijsden-Margraten,240,0,2,2.6,11.1,3.2,2.2,7,1.2,0,1.4,9.3,12.4,0,1,1.4,145,20,43,37,2.4,14,0,-99999999,-99999999,-99999999,-99999999,341.3993072,0,28.18136971,458.997028,137.0975313,2084.633123,664.8599491,5000,351.7287808,761.8967344,0.08,0.136612022,0.513661202,0.087431694,0.245901639,0.057235966,0.343749099,0.009485107,0.907271699,0.333333333,0.05952381,0.071428571,0.047619048,9 Uitstekend
607,Oost,Eijsden-Margraten,1140,0,1.8,3,6.7,2.5,2.6,5,1.7,0,2.4,5,8,0.9,1,0,295,26,34,40,2.4,10,2,0,0,0,0,1690.39746,0,134.6156632,1073.925039,170.7341798,2229.573364,870.6177768,5000,181.1107331,881.2709464,0.02,0.148148148,0.608465608,0.185185185,0.005291005,0.100465741,0.173299901,0.104461483,1.0348936,0.31147541,0.180327869,0.073770492,0.016393443,8 Zeer goed
608,Roggelsedijk,Peel en Maas,118,2,0.3,16.4,16.5,8.4,2.4,-99999999,1.3,0,2.6,7.8,20,0,0,0.7,95,15,39,46,2.8,8,0,-99999999,-99999999,-99999999,-99999999,505.9990473,0,100.9131915,1523.883478,274.0165839,1605.705028,2323.174123,5000,967.1104668,526.8278022,0,0.426315789,0.147368421,0.3,0.142105263,0.063385909,0.261314505,0.875437767,0.9375,1,0,0.125,0,8 Zeer goed
609,Verspreide huizen Molenbaan en Vieruitersten,Peel en Maas,65,11,0.4,15.4,19.4,7.8,1.7,-99999999,2.1,0.4,1.2,7.8,23.3,0.2,0.2,0.7,60,16,39,45,2.7,9,0,-99999999,-99999999,-99999999,-99999999,616.5605917,659.4338596,67.00186094,1148.130837,441.509975,3469.923974,893.8108917,5000,580.7298534,0,0,0.033333333,0.6,0,0.233333333,0.008455155,0.04491992,0.595140615,1,1,0,0,0,7 Goed
611,Verspreide huizen Steenoven en Langstraat,Peel en Maas,73,0,0.1,16.2,16.7,8.9,2,13,1.9,0,1.9,8.9,21.9,0,0,0,155,38,41,21,2.1,13,1,-99999999,-99999999,-99999999,-99999999,1605.063635,173.1594707,9.455736484,153.7827346,0,4921.605919,2272.478453,5000,389.3197216,676.4355986,0,0,0.3125,0,0.6875,0.459983379,0.160900565,1.111868998,1,1,0,0.028571429,0.028571429,7 Goed
612,Bong,Peel en Maas,530,0,0.8,4.8,8.4,4.1,4.5,3,1,0.4,0.9,7.5,8.6,0,0,1.4,215,17,34,49,2.7,8,4,0,0,1,0,935.0265396,0,285.9407448,1540.45489,273.6122416,3513.294222,740.0592776,5000,454.9595311,2204.7672,0,0.21025641,0.230769231,0.323076923,0.230769231,0.01640261,0.198563045,0.042932219,0.92711324,0.676190476,0.076190476,0.00952381,0,9 Uitstekend
613,Verspreide huizen op Den Hert,Peel en Maas,67,8,0,5,6.7,4,4.4,8,0.7,0,1.9,6.3,6.9,0,0,0,120,26,29,45,2.6,19,1,-99999999,-99999999,-99999999,-99999999,2596.340554,0,0.412719745,2056.584316,14.66160774,3854.240537,42.14869791,5000,32.44157276,3559.736026,0,0.7,0,0,0.3,0.036521223,0.455845333,4.255658591,1,0.777777778,0.074074074,0,0,8 Zeer goed
614,Verspreide huizen ten zuiden van Baarlo,Peel en Maas,33,27,0.2,5,8.8,4.3,5.1,-99999999,1.2,0.5,1.7,7.6,9,0.5,0.7,0.3,95,23,27,49,2.7,9,1,-99999999,-99999999,-99999999,-99999999,1100.936971,700.480739,0,2641.618906,173.3216895,1164.938414,157.4960001,5000,11.41419884,481.5611558,0,0,0,0,0,0.014733855,0.158628063,0.030170623,0.429944942,0,0,0,0,8 Zeer goed
615,Meijel,Peel en Maas,1815,2,1.9,15.5,18.4,7.8,0.8,4,2.2,2.1,0.6,7.8,22.5,0.6,0.5,2.6,2045,24,36,40,2.4,4,2,0,0,0,0,2132.66462,0,12.97845046,4512.751782,241.9836483,2100.901674,3301.568874,5000,175.7129771,1345.006179,0,0.361538462,0.353846154,0.161538462,0.084615385,0.178640919,0.07879473,0.121943512,0.998279878,0.265217391,0.065217391,0.043478261,0.008695652,7 Goed
616,Verspreide huizen ten zuiden van Provinciale weg,Peel en Maas,55,3,0.4,7.9,10,6.2,2,5,0.8,0.2,1.7,7.6,10.2,0.2,0.2,0.3,205,17,42,42,2.6,5,0,-99999999,-99999999,-99999999,-99999999,1571.355602,0,58.09870942,5000,95.60707988,2915.255077,2914.246076,5000,75.48824046,1179.582915,0,0.25,0.25,0.416666667,0.083333333,0.123293903,0.450840944,0.754764448,1,1,0,0,0,9 Uitstekend
617,Verspreide huizen ten noorden van Provinciale weg,Peel en Maas,48,14,0.3,7.8,10.8,6.3,2.3,11,0.8,0.1,1.8,7.7,11,0.2,0,0.3,400,31,27,41,2.5,15,1,-99999999,-99999999,-99999999,-99999999,2235.618389,0,221.974833,5000,290.3831877,3369.042861,3563.416419,5000,340.3493733,1753.360115,0,0.322033898,0.214689266,0.248587571,0.096045198,0.006595318,0.002262059,0.00540082,0.993175232,1,0,1,0,7 Goed
618,Baarlo,Peel en Maas,1791,2,1.3,4.2,8,3.5,4.6,4,1.1,1.4,0.7,6.9,8.2,1.7,2.4,2.2,2200,25,35,40,2.4,8,2,0,0,0,0,363.2873794,0,101.4529176,3449.529449,194.3704048,915.4819917,1554.601181,5000,345.6952997,484.4019157,0.03,0.257142857,0.577142857,0.022857143,0.131428571,2.040968596,0.265895529,0.049069478,0.623562567,0.394636015,0.14559387,0.034482759,0.019157088,7 Goed
619,Soeterbeek,Peel en Maas,205,0,0,5.6,9.1,5,3.7,-99999999,1,0,1.8,8.2,9.3,0,0,0,50,14,36,50,3,2,0,-99999999,-99999999,-99999999,-99999999,354.6751343,0,271.0512323,3451.686409,328.9796086,600.8734614,805.7388389,5000,347.9955708,554.6739268,0,0,0.019704433,0.004926108,0.699507389,0.173855438,0.267894307,0.035173005,0.944444444,1,0,0.111111111,0,8 Zeer goed
620,Hout en Oijen,Peel en Maas,56,29,0,5.9,10.2,5.7,6,-99999999,0.6,0,2.8,8.9,10.4,0,0,0.5,65,23,29,48,2.8,3,2,-99999999,-99999999,-99999999,-99999999,2077.22489,374.0124228,320.2512298,3019.61827,165.5688771,567.6502267,2706.911338,5000,0,1171.426041,0,0,0,0,0,2.489688856,0.333425457,0.083300502,0.951531805,0.571428571,0.142857143,0,0,8 Zeer goed
621,Verspreide huizen Kessel,Peel en Maas,33,20,0.3,5.4,12.5,6.5,5.3,16,0.9,0,1.8,7.5,12.7,0.2,0.1,0.3,110,34,31,35,2.3,17,0,-99999999,-99999999,-99999999,-99999999,3.089681845,12.31920352,99.55752199,3448.186822,82.40356175,1229.18372,1451.663001,5000,97.40535211,0,0,0,0,0,0.333333333,0.021161126,0.018730992,0.34381196,0.5,0,0,0,0,6 Ruim voldoende
623,Maasbree,Peel en Maas,2945,0,3.4,8.8,10.1,7,0.6,3,1,1.9,0.5,8.2,10.3,1.9,0.8,2.7,2010,24,35,41,2.5,6,2,0,0,0,0,1514.930884,0,205.9765213,624.3285527,280.4773886,5000,2538.16259,5000,694.0356743,1248.667151,0.03,0.064757161,0.069738481,0.235367372,0.545454545,0.090865472,0.039135897,0.132317525,0.882383398,0.516908213,0.154589372,0.019323671,0.014492754,8 Zeer goed
624,Verspreide huizen Katsberg en Witdonk,Peel en Maas,34,9,0.2,16.3,18.4,7,1.9,-99999999,1.6,0.4,2,6.8,21.2,0,0,0.6,50,17,34,49,2.8,8,0,-99999999,-99999999,-99999999,-99999999,1763.967407,0,52.20476289,1103.578812,193.5230052,5000,2225.130771,5000,427.9560387,1732.488227,0,0,0.967914439,0.002673797,0.029411765,0.171181119,0.012929776,0.342307364,0.5,0,0,0,0,6 Ruim voldoende
625,Onder-Eindt-Zandberg,Peel en Maas,124,2,1.5,9.3,13.9,2.8,4.5,4,0.4,0.1,1.8,3.7,14.1,0.8,0.4,0.1,215,12,33,55,3,3,0,-99999999,-99999999,-99999999,-99999999,2190.477675,0,93.60934284,928.5336023,178.329071,5000,2958.690043,5000,346.0752692,1526.838795,0,0.203208556,0.524064171,0.171122995,0.085561497,0.145136814,0.132114316,0.033375515,1,1,0,0,0,8 Zeer goed
626,Keup,Peel en Maas,22,0,0,9,16.4,3.9,5.5,-99999999,0.5,0,1.8,3.4,16.5,0.2,0.3,0.2,45,16,40,44,2.8,7,1,-99999999,-99999999,-99999999,-99999999,2610.197775,0,43.30721893,1610.847731,86.93077191,5000,2525.121702,5000,609.869189,2240.867143,0,0,0,0,0.741258741,0.032957371,0.074725065,0.517121778,1,1,0,0,0,7 Goed
627,Kessel,Peel en Maas,1288,25,3.4,3.7,12.8,7.5,3.6,5,1.5,0.9,0.5,7.9,13.1,2.7,0.9,3.2,1285,27,35,38,2.3,9,2,0,0,0,0,1147.627427,0,76.77605901,2036.45969,144.7099256,5000,1140.771222,5000,585.3900233,1348.944933,0,0.046296296,0.194444444,0.611111111,0.092592593,0.179930056,0.093147001,1.966251055,0.935821769,0.535911602,0.121546961,0.060773481,0.005524862,7 Goed
628,Kesseleik,Peel en Maas,380,17,1,4.8,14.4,7.7,3.8,6,0.9,0,2.3,7.6,15.1,0.9,0.9,0,300,26,32,42,2.4,12,3,0,0,0,0,1367.649189,0,29.04500351,1471.318058,111.1254325,5000,1703.676307,5000,34.9532085,1694.696529,0,0.005319149,0,0,0.143617021,0.390201124,0.581620025,0.089105305,0.946094271,0.590909091,0.103896104,0.045454545,0.019480519,7 Goed
629,Vosberg-Loo,Peel en Maas,108,0,0,11.3,16.2,1.8,2.9,6,1,0,1.6,2.4,16.4,0.2,0.1,0,130,16,43,41,2.5,3,0,-99999999,-99999999,-99999999,-99999999,359.532314,0,126.7406702,919.809176,215.9838203,4102.221838,1407.270308,5000,546.7031313,713.8349888,0,0.057646117,0.517614091,0.022417934,0.355484388,0.216605102,0.295322405,0.002143553,0.993242509,1,0,0,0,8 Zeer goed
630,Egchel,Peel en Maas,190,0,0,10.3,17.5,2.5,5.8,4,0.9,0,0.6,2,17.7,0.9,1.4,0.9,390,15,38,47,2.7,5,2,0,0,0,1,954.000496,0,57.51299441,727.5678365,73.67090118,4732.947853,2043.986741,5000,832.7070966,1106.588001,0,0.088957055,0.110429448,0.475460123,0.279141104,0.124873943,0.137650995,0.141429902,0.995798319,0.504201681,0.084033613,0.033613445,0.008403361,9 Uitstekend
631,Zelen-Hub,Peel en Maas,47,0,0.3,11.4,17.8,2.3,5.2,-99999999,1,0.1,1.1,1.5,18,0.1,0.1,0,70,9,46,45,2.8,2,0,-99999999,-99999999,-99999999,-99999999,588.297793,224.1086716,221.968172,1068.067164,287.546161,3416.845716,437.323416,5000,452.0834767,0,0,0.029411765,0.558823529,0.029411765,0.205882353,1.750557435,0.621021935,1.289817358,4.362791293,1,0,0,0.125,8 Zeer goed
632,Groeze,Peel en Maas,40,4,0.3,13.2,18.8,3.7,4.5,-99999999,0.5,0,1.7,3.3,19.5,0.2,0.2,0.2,60,21,32,48,2.9,4,1,-99999999,-99999999,-99999999,-99999999,577.5284035,0,0,1305.004198,297.8481772,4551.270085,1723.98712,5000,846.6218959,997.2356832,0,0.488461538,0.119230769,0.132692308,0.178846154,0.428029639,0.261362972,1.355658759,3.405043731,1,0,0,0,6 Ruim voldoende
633,Vliegert,Peel en Maas,37,0,0.2,10.6,17.2,4.5,2.1,-99999999,0.1,0,0.7,4.9,17.4,0.2,0.2,0.3,70,30,20,50,2.7,2,1,-99999999,-99999999,-99999999,-99999999,234.6273313,0,147.1082555,1974.139707,211.5207568,4199.833883,608.1526018,5000,378.8572984,428.3637926,0,0.365535248,0.078328982,0.279373368,0.276762402,0.636475749,1.75897541,0.105113391,0.5,0,0,0,0,6 Ruim voldoende
634,Beringe,Peel en Maas,306,6,1.6,12.7,18.6,3,3.5,3,0.9,0,0.7,2.9,18.8,0.8,0.8,1,745,20,38,42,2.6,5,2,1,0,0,0,413.2905026,0,182.3811373,1844.009583,342.1726659,4444.900976,1281.843025,5000,432.0400723,601.1240891,0,0.337579618,0.022292994,0.27388535,0.331210191,0.099290909,0.143314892,0.118535045,1,0.475409836,0.180327869,0.049180328,0,7 Goed
